x,Curve1
55.147,780.2315379
55.417,780.2318701
55.687,780.2321359
55.957,780.232468
56.228,780.2327338
56.498,780.2330659
56.768,780.2333317
57.038,780.2336638
57.445,780.2339298
57.715,780.2342619
57.986,780.2345277
58.256,780.2348598
58.526,780.2351256
58.796,780.2354577
59.066,780.2357899
59.337,780.2360556
59.607,780.2363878
59.878,780.2366535
60.148,780.2369857
60.418,780.2372515
60.824,780.2375838
61.095,780.2378495
61.365,780.2381817
61.636,780.2384474
61.906,780.2387796
62.176,780.2391117
62.31,780.2393773
62.58,780.2397095
62.85,780.2400416
63.121,780.2403074
63.391,780.2406395
63.661,780.2409053
63.664,780.2405735
63.666,780.2402417
63.668,780.2399099
63.807,780.2395782
63.809,780.2392464
63.811,780.2389146
63.813,780.2385828
63.816,780.238251
63.818,780.2379191
63.82,780.2375873
63.823,780.2372555
63.961,780.2369239
63.963,780.2365921
63.966,780.2362602
63.968,780.2359284
63.97,780.2355966
63.972,780.2352648
63.975,780.234933
63.977,780.2346012
64.115,780.2342695
64.118,780.2339377
64.12,780.2336059
64.122,780.2332741
64.124,780.2329423
64.127,780.2326105
64.129,780.2322787
64.131,780.2319469
64.27,780.2316152
64.272,780.2312834
64.274,780.2309516
64.277,780.2306198
64.279,780.230288
64.281,780.2299561
64.283,780.2296243
64.286,780.2292925
64.424,780.2289609
64.426,780.2286291
64.429,780.2282972
64.431,780.2279654
64.433,780.2276336
64.436,780.2273018
64.438,780.22697
64.44,780.2266382
64.579,780.2263065
64.581,780.2259747
64.583,780.2256429
64.585,780.2253111
64.588,780.2249793
64.59,780.2246475
64.592,780.2243157
64.594,780.2239839
64.733,780.2236522
64.735,780.2233204
64.737,780.2229886
64.74,780.2226568
64.742,780.222325
64.88,780.2219933
65.018,780.2217944
65.425,780.221994
65.831,780.2223263
66.238,780.2225922
66.509,780.222858
66.915,780.2231903
67.185,780.223456
67.456,780.2237218
67.862,780.2240541
68.133,780.2243199
68.539,780.2245858
69.083,780.2247856
69.353,780.2251177
69.487,780.2253833
69.757,780.2257155
70.164,780.2259814
70.434,780.2263135
70.841,780.2265795
71.248,780.226779
71.518,780.2271112
71.788,780.227377
71.922,780.2277089
72.193,780.2279747
72.463,780.2283068
72.87,780.2285728
73.14,780.2289049
73.41,780.2291707
73.68,780.2295028
74.087,780.2297688
74.357,780.2301009
74.628,780.2303667
74.898,780.2306988
75.304,780.2309648
75.574,780.2312969
75.845,780.2315627
76.115,780.2318948
76.385,780.2322269
76.656,780.2324927
76.926,780.2328249
77.196,780.2330906
77.466,780.2334228
77.737,780.2336885
78.007,780.2340207
78.277,780.2342865
78.547,780.2346186
78.817,780.2349507
78.952,780.2352163
79.222,780.2355485
79.492,780.2358806
79.762,780.2361464
80.033,780.2364785
80.303,780.2368107
80.573,780.2370764
80.843,780.2374086
81.114,780.2376744
81.384,780.2380065
81.654,780.2382723
81.924,780.2386044
82.194,780.2389365
82.465,780.2392023
82.735,780.2395344
82.869,780.2398664
83.139,780.2401322
83.41,780.2404643
83.68,780.2407301
83.95,780.2410622
84.22,780.2413944
84.491,780.2416602
84.761,780.2419923
85.031,780.2422581
85.301,780.2425902
85.571,780.2429223
85.842,780.2431881
86.112,780.2435203
86.246,780.2438522
86.516,780.244118
86.648,780.2447818
86.65,780.24445
86.918,780.2451139
87.055,780.2449814
87.194,780.2446497
87.196,780.2443179
87.198,780.2439861
87.201,780.2436543
87.339,780.2433226
87.341,780.2429908
87.344,780.242659
87.482,780.2423274
87.484,780.2419955
87.487,780.2416637
87.489,780.2413319
87.491,780.2410001
87.63,780.2406685
87.632,780.2403367
87.634,780.2400048
87.636,780.239673
87.639,780.2393412
87.641,780.2390094
87.779,780.2386778
87.782,780.2383459
87.784,780.2380141
87.786,780.2376823
87.789,780.2373505
87.791,780.2370187
87.793,780.2366869
87.932,780.2363552
87.934,780.2360234
87.936,780.2356916
87.938,780.2353598
87.941,780.235028
87.943,780.2346962
87.945,780.2343644
88.084,780.2340327
88.086,780.2337009
88.088,780.2333691
88.09,780.2330373
88.093,780.2327055
88.095,780.2323737
88.097,780.2320418
88.236,780.2317102
88.238,780.2313784
88.24,780.2310466
88.243,780.2307148
88.245,780.2303829
88.247,780.2300511
88.386,780.2297195
88.388,780.2293877
88.39,780.2290559
88.392,780.2287241
88.395,780.2283922
88.397,780.2280604
88.535,780.2277288
88.538,780.227397
88.54,780.2270652
88.542,780.2267333
88.681,780.2264017
88.683,780.2260699
88.954,780.2262693
89.224,780.2265351
89.631,780.226801
89.901,780.2271331
90.308,780.2273991
90.578,780.2277312
90.849,780.227997
91.119,780.2283291
91.389,780.2285949
91.659,780.228927
92.066,780.229193
92.336,780.2295251
92.606,780.2297909
92.877,780.230123
93.147,780.2303888
93.417,780.2307209
93.687,780.2310531
93.958,780.2313189
94.228,780.231651
94.498,780.2319168
94.768,780.2322489
95.039,780.2325147
95.445,780.232847
95.716,780.2331128
95.85,780.2334447
96.12,780.2337769
96.39,780.2340426
96.66,780.2343748
96.93,780.2347069
97.201,780.2349727
97.471,780.2353048
97.741,780.2355706
98.011,780.2359027
98.282,780.2362349
98.552,780.2365006
98.822,780.2368328
99.093,780.2370986
99.227,780.2374305
99.497,780.2377627
99.767,780.2380284
100.037,780.2383606
100.308,780.2386264
100.578,780.2389585
100.848,780.2392906
101.118,780.2395564
101.388,780.2398885
101.659,780.2402207
101.793,780.2404863
102.063,780.2408184
102.333,780.2411506
102.604,780.2414163
102.737,780.2417483
103.008,780.2420805
103.278,780.2423462
103.548,780.2426784
103.818,780.2430105
103.953,780.2432761
104.223,780.2436083
104.493,780.2439404
104.763,780.2442062
105.033,780.2445383
105.303,780.2448704
105.438,780.2451361
105.708,780.2454682
105.842,780.2458002
106.112,780.2460659
106.382,780.2463981
106.516,780.24673
106.786,780.2470622
107.057,780.247328
107.191,780.2476599
107.461,780.2479921
107.731,780.2483242
107.732,780.2481915
107.87,780.2478598
107.872,780.247528
107.875,780.2471962
107.877,780.2468644
107.879,780.2465326
107.882,780.2462008
108.02,780.2458691
108.022,780.2455373
108.025,780.2452055
108.027,780.2448737
108.029,780.2445419
108.031,780.2442101
108.034,780.2438783
108.036,780.2435464
108.174,780.2432148
108.177,780.242883
108.179,780.2425512
108.181,780.2422194
108.183,780.2418875
108.186,780.2415557
108.188,780.2412239
108.19,780.2408921
108.193,780.2405603
108.331,780.2402287
108.333,780.2398968
108.336,780.239565
108.338,780.2392332
108.34,780.2389014
108.342,780.2385696
108.345,780.2382378
108.347,780.237906
108.349,780.2375742
108.488,780.2372425
108.49,780.2369107
108.492,780.2365789
108.495,780.2362471
108.497,780.2359153
108.499,780.2355834
108.501,780.2352516
108.504,780.2349198
108.506,780.234588
108.644,780.2342564
108.647,780.2339246
108.649,780.2335927
108.651,780.2332609
108.653,780.2329291
108.656,780.2325973
108.658,780.2322655
108.66,780.2319337
108.663,780.2316019
108.801,780.2312702
108.803,780.2309384
108.806,780.2306066
108.808,780.2302748
108.81,780.229943
108.812,780.2296112
108.951,780.2292795
109.088,780.2290806
109.359,780.2293464
109.766,780.2296123
109.9,780.2299443
110.17,780.2302764
110.44,780.2305422
110.71,780.2308743
110.981,780.2311401
111.251,780.2314722
111.521,780.2318044
111.791,780.2320701
112.061,780.2324023
112.195,780.2327343
112.466,780.233
112.736,780.2333322
113.006,780.2335979
113.277,780.2339301
113.547,780.2342622
113.817,780.234528
114.087,780.2348601
114.358,780.2351259
114.628,780.235458
114.898,780.2357902
115.032,780.2360558
115.302,780.2363879
